City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,bubaque,11.2833,-15.8333,301.43,77,100,4.4,GW,1698215623
327,snovsk,51.8239,31.9428,279.79,77,100,5.65,UA,1698215623
328,sete,43.4018,3.6966,286.17,64,16,1.78,FR,1698215624
329,pitimbu,-7.4706,-34.8086,295.48,78,39,2.81,BR,1698215624
330,ciudad lazaro cardenas,17.9583,-102.2,298.35,86,100,1.41,MX,1698215624
331,kruisfontein,-34.0033,24.7314,291.64,50,7,1.35,ZA,1698215625
332,kuanda,56.3161,116.0806,272.21,42,95,4.66,RU,1698215625
333,tynda,55.1667,124.7167,273.04,85,100,1.51,RU,1698215625
334,tortoli,39.9256,9.6572,292.05,77,75,9.26,IT,1698215626
335,bambang,16.3833,121.1,301.74,83,76,1.18,PH,1698215626
336,manokwari,-0.8667,134.0833,301.44,77,92,2.9,ID,1698215626
337,recani,31.2846,-4.2688,291.57,27,0,1.32,MA,1698215627
338,kaa-khem,51.6833,94.7333,276.71,29,93,0.76,RU,1698215627
339,malango,-2.9627,119.9001,300.73,60,83,2.37,ID,1698215627
340,francistown,-21.17,27.5079,303.7,20,0,5.91,BW,1698215628
341,qulsary,46.9531,54.0198,282.79,56,86,9.29,KZ,1698215628
342,sisimiut,66.9395,-53.6735,269.49,70,94,5.37,GL,1698215336
343,pechora,65.1472,57.2244,267.51,90,100,3.13,RU,1698215629
344,novospasskoye,53.1468,47.7514,274.0,57,15,4.74,RU,1698215629
345,al qubbah,32.7616,22.2424,294.29,42,100,0.83,LY,1698215629
346,las palmas de gran canaria,28.0997,-15.4134,294.22,64,40,5.14,ES,1698215629
347,guiuan,11.0333,125.7247,302.29,75,74,4.57,PH,1698215630
348,tralee,52.2704,-9.7026,278.29,100,0,1.03,IE,1698215630
349,nema,57.5067,50.5011,270.38,88,58,3.72,RU,1698215630
350,uray,60.1247,64.7758,270.86,73,4,1.79,RU,1698215547
351,basoko,1.2391,23.616,298.56,74,68,0.48,CD,1698215631
352,essaouira,31.5125,-9.77,289.87,82,75,4.12,MA,1698215631
353,seme,15.1942,-12.9448,303.77,34,74,3.24,SN,1698215632
354,nar'yan-mar,67.6713,53.087,272.1,90,100,7.15,RU,1698215597
355,port douglas,-16.4833,145.4667,298.44,68,2,3.28,AU,1698215508
356,ola,59.5833,151.2833,272.71,81,16,4.23,RU,1698215633
357,dhamar,14.5427,44.4051,291.54,48,23,1.42,YE,1698215633
358,los frentones,-26.4077,-61.4137,293.43,78,97,3.07,AR,1698215634
359,almus,40.3758,36.9044,283.31,44,4,2.48,TR,1698215634
360,inhambane,-23.865,35.3833,297.29,85,100,8.69,MZ,1698215635
361,abashiri,44.0213,144.2697,292.31,55,20,2.06,JP,1698215635
362,illizi,26.4833,8.4667,295.04,16,88,2.03,DZ,1698215635
363,pingliang,35.5392,106.6861,292.46,20,100,2.51,CN,1698215635
